Company Name,Model Name,Fuel Type,Body Style,Car Length
Maruti Suzuki,Maruti Brezza,Petrol,SUV,3995
Hyundai,Hyundai Alcazar 2023,Petrol,SUV,4500
Tata Motors,Tata Nexon,Petrol,SUV,3993
Mahindra & Mahindra.,Mahindra Thar,Diesel,SUV,3985
Kia,Kia Carens,Petrol,Wagon,4540
Toyota, Toyota Avalon ,gasoline,Sedan,4870
Honda,Honda City,Petrol,Sedan,4440
Renault,Renault Kiger,Petrol,SUV,3991
Maruti Suzuki,Maruti Swift,Petrol/CNG ,Hatchback,3845
Maruti Suzuki,Maruti Ertiga,Petrol,SUV,4395
Maruti Suzuki,Maruti Dzire,Petrol,Sedan,3995
Hyundai,Hyundai Creta 2024,Petrol,SUV,4300
Tata Motors,Tata Altroz,Diesel,Hatchback,3990
Tata Motors,Tata Tiago,CNG,Hatchback,3765
Mahindra & Mahindra.,Mahindra Bolero,Diesel,SUV,3995
Kia,Kia Seltos,Diesel,SUV,4315
Toyota,Toyota corolla,gasoline,Hatchback,4630
Honda,Honda Amaze,Petrol,Sedan,3995
